normalized_rowid,normalized_domain,normalized_source,normalized_utterance_id,normalized_start_time,normalized_speaker_id,normalized_text,normalized_start,normalized_end,normalized_url
17046,youtube,6u9cNKUM2qs,100005,0:01:12,ВС,Добрий вечір.,72,75,https://www.youtube.com/embed/6u9cNKUM2qs?start=72&end=75
17047,youtube,6u9cNKUM2qs,100008,0:01:15,ПА,Шалом.,75,78,https://www.youtube.com/embed/6u9cNKUM2qs?start=75&end=78
17048,youtube,6u9cNKUM2qs,100011,0:01:18,ОН,"Шалом всім. Можна навіть сказати, що вже шабаш «шалом». Будемо чекати пана Тараса, тому що, тіпа, він, швидше за все, забув, бо написав: «Це що, через двадцять п'ять хвилин?» Хоча ми домовлялися. Але, в принципі, зараз, можна сказати про те, що ми сьогодні задонатили.",78,100,https://www.youtube.com/embed/6u9cNKUM2qs?start=78&end=100
17049,youtube,6u9cNKUM2qs,100013,0:01:40,ОН,"Те, що нарешті прийшло з Ютуба, там, як завжди, десять тисяч податків, але то… таке. Ми там віддали фонду Притули на Байрактари, бо треба. Віддали фонду «Повернись живим» сорок шість тисяч шістсот шістдесят шість грн, бо шістдесят шостий епізод.",100,120,https://www.youtube.com/embed/6u9cNKUM2qs?start=100&end=120
17050,youtube,6u9cNKUM2qs,100015,0:02:00,ОН,"І ще ми тридцять тисяч віддали «Паляниці» на тачку. Зара почекаєм трошки пана Тараса. Можливо, пошукаєм питання одразу пану «Аноніму», поки він тут. Може, щось для нього знайдем. Короче, той во, не переключайтесь.",120,145,https://www.youtube.com/embed/6u9cNKUM2qs?start=120&end=145
17051,youtube,6u9cNKUM2qs,100018,0:02:25,ВС,"Тут є просто універсальне питання насправді. От, я думаю, його можна задавати будь-кому. Ви можете просто підходити до людей, задавати це питання на вулиці. Чи не здається вам, що острів Зміїний дуже схожий на Крим в мініатюрі?",145,163,https://www.youtube.com/embed/6u9cNKUM2qs?start=145&end=163
17052,youtube,6u9cNKUM2qs,100021,0:02:43,ПА,Цікаве питання.,163,167,https://www.youtube.com/embed/6u9cNKUM2qs?start=163&end=167
17053,youtube,6u9cNKUM2qs,100024,0:02:47,ВС,"Да, мені теж дуже сподобалося.",167,167,https://www.youtube.com/embed/6u9cNKUM2qs?start=167&end=167
17054,youtube,6u9cNKUM2qs,100027,0:02:47,ОН,Дякую за лаконічну відповідь. Від тебе завжди чекаємо саме такі відповіді.,167,175,https://www.youtube.com/embed/6u9cNKUM2qs?start=167&end=175
17055,youtube,6u9cNKUM2qs,100030,0:02:55,ПА,Да? Мені здалося інакше.,175,179,https://www.youtube.com/embed/6u9cNKUM2qs?start=175&end=179
17056,youtube,6u9cNKUM2qs,100033,0:02:59,ОН,"Нє, ну, насправді інакше, але, тіпа, ти завжди відповідаєш так. Тому ми вже звикли.",179,184,https://www.youtube.com/embed/6u9cNKUM2qs?start=179&end=184
17057,youtube,6u9cNKUM2qs,100036,0:03:04,ПА,"Я просто забуваю зазвичай, шо я хочу сказати в продовження відповіді.",184,195,https://www.youtube.com/embed/6u9cNKUM2qs?start=184&end=195
17058,youtube,6u9cNKUM2qs,100039,0:03:15,Т,"Привіт. Раз, два, три…",195,199,https://www.youtube.com/embed/6u9cNKUM2qs?start=195&end=199
17059,youtube,6u9cNKUM2qs,100042,0:03:19,ОН,"О, привіт. Чуєш?...",199,199,https://www.youtube.com/embed/6u9cNKUM2qs?start=199&end=199
17060,youtube,6u9cNKUM2qs,100045,0:03:19,ПА,Доброго вечора.,199,199,https://www.youtube.com/embed/6u9cNKUM2qs?start=199&end=199
17061,youtube,6u9cNKUM2qs,100048,0:03:19,Т,Доброго дня.,199,200,https://www.youtube.com/embed/6u9cNKUM2qs?start=199&end=200
17062,youtube,6u9cNKUM2qs,100051,0:03:20,ОН,"Пан Тарас, а, може… Да, доброго дня для тебе.",200,203,https://www.youtube.com/embed/6u9cNKUM2qs?start=200&end=203
